Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
CAG,Consumer Staples,-1.7571185192923764,0.40194921799965616,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,1.2461440086726747,0.01,6,0.347,0.463,0.574,0.739,404.66200791716057,341.51253977230954,15.1718,14.6179,84.8282,280.98686364118345,216.32190675040684,7.1094,7.4357,92.8906,85,18,19
CAT,Industrials,-0.7298250180679846,0.8388722134960033,10,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,1.470711174815494,0.01,6,0.347,0.463,0.574,0.739,3237.283240935398,2736.0448534480875,21.3674,24.891,78.6326,3873.771697545562,3459.5055397108313,22.0001,25.3606,77.9999,85,18,19
CI,Healthcare,1.6711850874118732,0.998056172463197,0,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,1.2373349990405706,0.01,6,0.347,0.463,0.574,0.739,17287.126549153476,11107.374983992517,30.3809,45.8779,69.6191,8614.49412444482,5880.170667897386,10.0485,10.9573,89.9515,84,18,19
CL,Consumer Staples,-0.8363642291536425,0.808206340151012,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6561838836270975,0.01,6,0.347,0.463,0.574,0.739,425.24036040296244,375.71950179124644,9.5093,10.1195,90.4907,363.62792365255086,298.6914388925167,6.1176,6.4006,93.8824,85,18,19
CLX,Consumer Staples,-1.891985176156872,0.33584087979405075,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7360310854357295,0.01,6,0.347,0.463,0.574,0.739,190.00653183073368,140.34552277697824,8.2892,8.8933,91.7108,449.4449298384472,406.8539356055235,23.306,20.3128,76.694,85,18,19
CMA,Financial ,-3.7674955894663515,0.003257945611878666,7,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,0.1927421513517469,0.1,6,0.347,0.463,0.574,0.739,140.4018058084991,116.09268156758867,12.8957,14.1804,87.1043,452.68004640247364,382.33968376490685,32.2021,40.7826,67.7979,85,18,19
CMI,Industrials,1.8691366309287532,0.9984767154985242,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.7127923531773357,0.01,6,0.347,0.463,0.574,0.739,1088.8221672103466,928.1061257439833,16.5685,18.4372,83.4315,2889.0772187012553,2666.0623068306513,33.9268,41.8012,66.0732,85,18,19
CNP,Utilities,-3.400010876752029,0.010958500826350717,1,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,0.24045065437840105,0.1,5,0.347,0.463,0.574,0.739,710.8075050200475,552.5534813351745,22.0234,26.0282,77.9766,646.3183522882159,565.1658975563398,24.2522,28.2862,75.7478,85,18,19
COP,Energy,-1.6627866788241734,0.45038062694630127,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.3131265094160468,0.1,6,0.347,0.463,0.574,0.739,2649.628353855461,2351.8158327937954,32.5096,36.756,67.4904,10948.706073923038,10295.607026048552,69.1834,108.4461,30.8166,85,18,19
COST,Consumer Staples,2.3005019514289726,0.9989555014511324,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.7002386461261585,0.01,6,0.347,0.463,0.574,0.739,4129.862144299769,3326.2898526061927,8.4455,8.97,91.5545,8122.083878276274,7587.144315033021,12.6782,13.618,87.3218,85,18,19
CPB,Consumer Staples,0.4994724680265515,0.9848570535746434,12,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,2.1177969805885897,0.01,3,0.347,0.463,0.574,0.739,283.6293164149749,195.64480887295989,11.1279,10.9913,88.8721,431.64697622223565,357.98697599946036,14.786,16.493,85.214,85,18,19
CSCO,Information Technology,-1.9088058998927353,0.3279299447495625,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.7646428422210718,0.01,6,0.347,0.463,0.574,0.739,651.9777213781618,503.7107017580832,3.9451,4.0725,96.0549,1630.591121584879,1393.71139105576,10.0638,10.7756,89.9362,85,18,19
CSX,Industrials,-0.3223854869442152,0.9222734957398153,0,122,-3.4851223522012855,-2.88553750045158,-2.5795685622144586,1.2525471250989046,0.01,6,0.347,0.463,0.574,0.739,279.38086751169214,241.6376220487147,8.3385,8.6199,91.6615,868.3199499983391,808.3318608748667,22.4457,25.7133,77.5543,85,18,19
CVS,Healthcare,3.6556971254228072,1.0,5,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.6943150422250186,0.01,6,0.347,0.463,0.574,0.739,4437.680842088966,3691.1322816744246,7.3878,7.0198,92.6122,4157.357516464037,2807.161789981543,3.1173,3.0221,96.8827,85,18,19
CVX,Energy,-2.036002991996277,0.27101347751006144,8,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,0.7927322492255787,0.01,5,0.347,0.463,0.574,0.739,9891.004568506978,8603.64985963444,25.4075,28.9992,74.5925,26823.614581827835,24877.226884129286,49.9317,68.9523,50.0683,85,18,19
D,Utilities,-2.2023761249291076,0.20538419118624934,7,114,-3.489057523907491,-2.887246327182993,-2.5804808802708528,0.9123747350176736,0.01,6,0.347,0.463,0.574,0.739,885.956555643186,761.7048187913292,21.131,24.3401,78.869,582.3733420714864,468.84423831983514,11.846,12.9227,88.154,85,18,19
DE,Industrials,0.2746452191414103,0.9761508478047214,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6072473278850505,0.01,6,0.347,0.463,0.574,0.739,2057.772616019377,1717.3634832461416,19.1371,21.8442,80.8629,4865.971496063358,4416.82284262267,33.9739,41.8787,66.0261,85,18,19
