Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
HES,Energy,-1.815890793239463,0.372601381987667,0,120,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,0.3373108438617667,0.1,6,0.347,0.463,0.574,0.739,839.6476915262876,773.8940964150111,52.8772,75.1389,47.1228,1572.335761378953,1436.224627783774,52.0484,73.403,47.9516,85,18,18
HIG,Financial ,-2.6406184853320154,0.08488942486900952,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.7698333892640555,0.01,5,0.347,0.463,0.574,0.739,591.5179955309696,457.8386655477811,10.6569,10.2225,89.3431,1028.201965799642,826.4821717428684,13.0068,14.3938,86.9932,85,18,19
HON,Industrials,-1.684888452127918,0.4389147363769574,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,1.4939483377977838,0.01,6,0.347,0.463,0.574,0.739,1333.7190793147868,965.9446973637192,11.1373,10.0238,88.8627,1234.9422373633936,1111.9747596535344,11.8618,12.7659,88.1382,85,18,19
HPQ,Information Technology,-1.4468591988899802,0.5596166885176528,4,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913,0.41443883617132804,0.07093153613304826,6,0.347,0.463,0.574,0.739,2900.115024081145,1854.7180442541514,13.7881,12.0278,86.2119,1420.172855677774,1057.513806005867,6.8653,7.2192,93.1347,85,18,19
HSY,Consumer Staples,2.5393302958890143,0.9990614454678706,11,110,-3.4912451337340342,-2.8881954545454547,-2.5809876033057852,1.6910425002252987,0.01,6,0.347,0.463,0.574,0.739,189.75729083114445,177.04167123467283,9.0778,9.5672,90.9222,656.7891139973094,584.0202588283873,21.514,24.7046,78.486,85,18,19
HUM,Healthcare,2.643957896417928,0.999081997855692,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.6848727725415984,0.01,6,0.347,0.463,0.574,0.739,3135.7179319107804,2247.135756180684,13.2129,14.951,86.7871,1691.5311091856631,1465.9784502060077,6.176,5.9675,93.824,85,18,19
HWM,Industrials,-1.966253197503374,0.3015630301907569,9,36,-3.626651907578875,-2.9459512825788754,-2.6116707716049383,0.7013074358548849,0.013426596740465011,3,0.347,0.463,0.574,0.739,4677.819710841692,3938.243611722377,171.361,78.9915,-71.361,512.7382440042097,445.15421399978925,26.6565,31.4901,73.3435,9,18,19
IBM,Information Technology,-0.5725497805274657,0.8770648033589266,11,111,-3.490683082754047,-2.8879516565798817,-2.5808574442009578,0.6226474861544338,0.020577501258687837,6,0.347,0.463,0.574,0.739,741.7363104332453,577.785241871202,3.1048,3.0336,96.8952,4926.8264212658705,3603.658314153964,46.0256,23.9569,53.9744,85,18,19
IFF,Materials,0.26697572862917607,0.9757775743028377,6,115,-3.4885349695076844,-2.887019521656941,-2.5803597920604915,1.2256055656733782,0.01,6,0.347,0.463,0.574,0.739,331.23452526907914,255.0268993107513,21.3779,25.6599,78.6221,1586.4296842048561,1534.6694983807074,52.359,72.3171,47.641,85,18,19
INTC,Information Technology,-1.7223344595510715,0.41964337930015005,3,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,1.5758477660919599,0.01,6,0.347,0.463,0.574,0.739,3630.9831225063454,3139.9252615587457,17.3242,19.4578,82.6758,4183.288998317803,3671.0402116984346,26.7021,22.668,73.2979,85,18,19
IP,Consumer Discretionary,-2.470693347208554,0.12276873795723658,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.41963990577785276,0.06868969578540829,5,0.347,0.463,0.574,0.739,351.50266259063966,245.48106143970855,4.7301,4.5744,95.2699,769.8610424270236,525.8062683145629,12.3952,10.9718,87.6048,85,18,19
